1948年(民国三十七年 戊子)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1948年(民国三十七年 戊子)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1948年7月《申报》相关报道,不详,,,,,,,
1948年(民国三十七年 戊子)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己的近况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1948年(民国三十七年 戊子)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印八编》三卷本,相关出版史料,不详,,,,,,,
1948年(民国三十七年 戊子)冬,上海,黄宾虹,无,艺术/创作,创作《雪山图》，自题“戊子冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1949年(民国三十八年 己丑)春,上海,黄宾虹,无,艺术/创作,创作《黄山纪游图册》八帧，自题“己丑春，黄宾虹写”落款，该册页为黄山写生所得，每帧均有题诗,拍卖图录档案,不详,,,,,,,
1949年(民国三十八年 己丑)3月,上海,黄宾虹,无,出版/著述,所著《画学语录》修订版由神州国光社再版，该书是其画学思想的语录体读本,相关出版史料,不详,,,,,,,
1949年(民国三十八年 己丑)5月,上海,黄宾虹,无,艺术/理论,发表《论画用笔与时代性》一文，系统阐述中国绘画的用笔技法与时代发展的关联,1949年相关报刊、《黄宾虹文集》,不详,,,,,,,
1949年(民国三十八年 己丑)7月,上海,黄宾虹,无,家庭/迁居,因上海解放，举家从上海迁居浙江杭州，定居西湖畔,相关年谱史料,不详,,,,,,,
1949年(民国三十八年 己丑)秋,浙江杭州,黄宾虹,无,艺术/创作,创作《西湖图》，自题“己丑秋，黄宾虹写”落款，该作品为西湖写生所得,作品题跋档案,不详,,,,,,,
1949年(民国三十八年 己丑)冬,浙江杭州,黄宾虹,宋若嬰,家庭/亲属,二十子黄映沙出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1950年(庚寅)春,浙江杭州,黄宾虹,无,艺术/创作,创作《黄山松云图》长卷，自题“庚寅春，黄宾虹写”落款，该作品是其黄山题材的经典之作,拍卖图录档案,不详,,,,,,,
1950年(庚寅)3月,浙江杭州,黄宾虹,无,出版/撰文,在当地报刊发表《中国画学的新发展》一文，探讨新中国成立后中国画学的发展方向,1950年相关报刊,不详,,,,,,,
1950年(庚寅)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画用墨与时代性》一文，系统阐述中国绘画的用墨技法与时代发展的关联,1950年相关报刊、《黄宾虹文集》,不详,,,,,,,
1950年(庚寅)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江富春江、新安江等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1950年(庚寅)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗美援朝募捐活动，创作多幅书画作品捐献,1950年相关报刊报道,不详,,,,,,,
1950年(庚寅)9月,浙江杭州,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己迁居杭州的近况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1950年(庚寅)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印九编》二卷本,相关出版史料,不详,,,,,,,
1950年(庚寅)冬,浙江杭州,黄宾虹,无,艺术/创作,创作《秋山行旅图》，自题“庚寅冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境深远,作品题跋档案,不详,,,,,,,
1951年(辛卯)春,浙江杭州,黄宾虹,无,艺术/创作,创作《漓江山水图册》十帧，自题“辛卯春，黄宾虹写”落款，该册页为广西之行写生整理所得,拍卖图录档案,不详,,,,,,,
1951年(辛卯)3月,浙江杭州,黄宾虹,无,出版/著述,所著《中国画学史》修订版由当地出版社出版，该书系统梳理中国绘画的发展历史，是其重要的学术著作,相关出版史料,不详,,,,,,,
1951年(辛卯)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画构图与时代性》一文，系统阐述中国绘画的构图法则与时代发展的关联,1951年相关报刊、《黄宾虹文集》,不详,,,,,,,
1951年(辛卯)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江雁荡山、楠溪江等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1951年(辛卯)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗美援朝募捐活动，创作多幅书画作品捐献,1951年相关报刊报道,不详,,,,,,,
1951年(辛卯)9月,浙江杭州,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1951年(辛卯)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画八编》二卷本,相关出版史料,不详,,,,,,,
1951年(辛卯)冬,浙江杭州,黄宾虹,宋若嬰,家庭/亲属,二十一子黄映汀出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1952年(壬辰)春,浙江杭州,黄宾虹,无,艺术/创作,创作《黄山纪游图》长卷，自题“壬辰春，黄宾虹写”落款，该作品为黄山写生的经典之作,拍卖图录档案,不详,,,,,,,
1952年(壬辰)3月,浙江杭州,黄宾虹,无,出版/撰文,在当地报刊发表《中国画学的文化价值》一文，深入探讨中国画学的文化内涵与价值,1952年相关报刊,不详,,,,,,,
1952年(壬辰)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画气韵与时代性》一文，系统阐述中国绘画的气韵生动与时代发展的关联,1952年相关报刊、《黄宾虹文集》,不详,,,,,,,
1952年(壬辰)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江天台山、国清寺等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1952年(壬辰)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗美援朝募捐活动，创作多幅书画作品捐献,1952年相关报刊报道,不详,,,,,,,
1952年(壬辰)9月,浙江杭州,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己的近况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1952年(壬辰)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印十编》二卷本,相关出版史料,不详,,,,,,,
1952年(壬辰)冬,浙江杭州,黄宾虹,无,艺术/创作,创作《雪景山水图》，自题“壬辰冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1953年(癸巳)春,浙江杭州,黄宾虹,无,艺术/创作,创作《新安江山水图》长卷，自题“癸巳春，黄宾虹写”落款，该作品是其新安江题材的经典之作,拍卖图录档案,不详,,,,,,,
1953年(癸巳)3月,浙江杭州,黄宾虹,无,出版/著述,所著《画学要论》修订版由当地出版社出版，该书是其画学理论的核心著作,相关出版史料,不详,,,,,,,
1953年(癸巳)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画笔墨与民族性》一文，系统阐述中国绘画的笔墨精神与民族精神的关联,1953年相关报刊、《黄宾虹文集》,不详,,,,,,,
1953年(癸巳)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江千岛湖、新安江等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1953年(癸巳)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗洪救灾募捐活动，创作多幅书画作品捐献,1953年相关报刊报道,不详,,,,,,,
1953年(癸巳)9月,浙江杭州,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1953年(癸巳)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画九编》二卷本,相关出版史料,不详,,,,,,,
1953年(癸巳)冬,浙江杭州,黄宾虹,宋若嬰,家庭/亲属,二十二子黄映洲出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1954年(甲午)春,浙江杭州,黄宾虹,无,艺术/创作,创作《黄山松云图册》八帧，自题“甲午春，黄宾虹写”落款，该册页为黄山写生所得，风格浑厚华滋,拍卖图录档案,不详,,,,,,,
1954年(甲午)3月,浙江杭州,黄宾虹,无,出版/撰文,在当地报刊发表《中国画学的民族精神》一文，深入探讨中国画学的民族精神与文化价值,1954年相关报刊,不详,,,,,,,
1954年(甲午)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画意境与民族性》一文，系统阐述中国绘画的意境营造与民族精神的关联,1954年相关报刊、《黄宾虹文集》,不详,,,,,,,
1954年(甲午)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江丽水、龙泉等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1954年(甲午)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗洪救灾募捐活动，创作多幅书画作品捐献,1954年相关报刊报道,不详,,,,,,,
1954年(甲午)9月,浙江杭州,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己的近况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1954年(甲午)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印续编》十卷本,相关出版史料,不详,,,,,,,
1954年(甲午)冬,浙江杭州,黄宾虹,无,艺术/创作,创作《雪山图》，自题“甲午冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1955年(乙未)春,浙江杭州,黄宾虹,无,艺术/创作,创作《黄山纪游图》长卷，自题“乙未春，黄宾虹写”落款，该作品为黄山写生的经典之作,拍卖图录档案,不详,,,,,,,
1955年(乙未)3月,浙江杭州,黄宾虹,无,出版/著述,所著《中国画学概论》最终修订版由人民美术出版社出版，该书是其画学理论的集大成之作,相关出版史料,不详,,,,,,,
1955年(乙未)5月,浙江杭州,黄宾虹,无,艺术/理论,发表《论画用笔与民族性》一文，系统阐述中国绘画的用笔技法与民族精神的关联,1955年相关报刊、《黄宾虹文集》,不详,,,,,,,
1955年(乙未)夏,浙江杭州,黄宾虹,无,游历/写生,游览浙江天目山、莫干山等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1955年(乙未)7月,浙江杭州,黄宾虹,无,公益/创作,参与当地书画界举办的抗洪救灾募捐活动，创作多幅书画作品捐献,1955年相关报刊报道,不详,,,,,,,
1955年(乙未)9月,浙江杭州,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1955年(乙未)10月,浙江杭州,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画全集》十卷本,相关出版史料,不详,,,,,,,
1955年(乙未)冬,浙江杭州,黄宾虹,宋若嬰,家庭/亲属,二十三子黄映洋出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1928年(民国十七年 戊辰)四月,上海,黄宾虹,高燮,社交/通信,收到高燮来信，对方推荐女弟子朱砚英前来学画，询问是否招收女弟子；同时提及借抄《师说》事宜，并附赠《舒艺室》一书,高燮往来书信,不详,,,,,,,
1928年(民国十七年 戊辰)四月,上海,黄宾虹,俞剑华,艺术/题跋,为俞剑华山水作品题跋，评其画作承袭南宗正统笔法，笔墨功底深厚,《玉愚画趣》,不详,,,,,,,
1928年(民国十七年 戊辰)五月,上海,黄宾虹,马骀,出版/序跋,为马骀《自习画谱大全》撰写序言，系统阐述国画学习的入门路径与核心要义,相关出版物史料,不详,,,,,,,
1928年(民国十七年 戊辰)春,江苏无锡,黄宾虹,陶冷月、王云僧、钱云鹤,社交/雅集,受徐悲鸿引荐，受聘担任暨南大学中国画史讲师，偕陶冷月等人同游无锡梅园并合影留念,陶冷月年表、合影题跋,不详,,,,,,,
1928年(民国十七年 戊辰)春,上海,黄宾虹,陈刚叔、蔡逸民、熊松泉、张善孖、张大千、马企周、俞剑华,社交/社团,与诸人共同组建烂漫画社，被推举为社长，画社后续刊行同人画册，推动海上国画艺术交流,俞剑华回忆文稿,不详,,,,,,,
1928年(民国十七年 戊辰)五月,上海,黄宾虹,张善孖,艺术/往来,为张善孖创作山水扇面；张善孖来信借观新罗山人《野烧图》，二人交流书画收藏与创作心得,张善孖往来书信,不详,,,,,,,
1928年(民国十七年 戊辰)五月,上海,黄宾虹,无,艺术/创作,创作拟元人设色山水作品，取法元代山水名家的笔墨格调，意境清远,香港缘山堂藏品档案,不详,,,,,,,
1928年(民国十七年 戊辰)五月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，谈及接手神州国光社相关事务，因事务繁忙暂缓广西讲学之行，同时提及与王秋湄相聚闲谈之事,黄宾虹与陈柱往来书信,不详,,,,,,,
1928年(民国十七年 戊辰),上海,黄宾虹,陈柱,艺术/文论,致信陈柱，探讨书画笔力与气韵的内在关联，结合生活见闻阐释用笔、布白等核心画理,黄宾虹与陈柱往来书信,不详,,,,,,,
1928年(民国十七年 戊辰)初夏,上海,黄宾虹,诸贞长,社交/赠礼,诸贞长携罗星桥所绘桂林山水册、《芙蓉池馆诗草》相赠，为其即将开启的广西之行壮行色,《桂游日记》,不详,,,,,,,
1928年(民国十七年 戊辰)6月3日,上海,黄宾虹,蔡元培、林风眠等,评审/任职,被大学院艺术教育委员会推举为全国美术展览会征集委员、审查委员，参与展会的作品征集与评审工作,1928年6月12日《广州民国日报》,不详,,,,,,,
1928年(民国十七年 戊辰)6月13日,上海,黄宾虹,天马会同人,艺术/展览,参加天马会第九届美术展览会，参展山水作品被媒体评为格调清远、笔墨浑厚,1928年6月《申报》《时报》展评,不详,,,,,,,
1928年(民国十七年 戊辰)下半年,上海,黄宾虹,陶冷月,学业/任职,正式就任暨南大学艺术院美术史讲师，系统讲授中国美术史、国画技法等课程,1928年7月1日《申报》,不详,,,,,,,
1928年(民国十七年 戊辰)7月,上海,黄宾虹,海上众多书画家,公益/创作,为莫干山肺病疗养院募集基金，与众名家联手创作书画作品捐献，助力公益事业,1928年7月15日《申报》,不详,,,,,,,
1928年(民国十七年 戊辰)夏秋,上海,黄宾虹,叶恭绰、黄蔼农、吴待秋等,社交/筹备,与众书画名家商议筹办中国文艺学院，因经费庞大暂未落地，筹备工作持续推进,近代美术史料,不详,,,,,,,
1928年(民国十七年 戊辰)7月4日,上海/香港,黄宾虹,马君武、陈柱等,游历/出行,随广西暑期讲学讲师团从上海启程，途经香港，当地报界设宴接待，席间即兴挥毫创作书画作品,《华星三日刊》、《桂游日记》,不详,,,,,,,
1928年(民国十七年 戊辰)7月,香港,黄宾虹,邓尔雅、黄般若,社交/雅集,在香港拜访邓尔雅，同游太平山，二人畅谈金石书画；为黄般若创作山水作品，交流画艺心得,《华星三日刊》,不详,,,,,,,
1928年(民国十七年 戊辰)7月13日,广西梧州,黄宾虹,封濯吾,游历/出行,一行人抵达梧州，游览当地山水风貌，拜访封濯吾昆仲，交流地方文化与艺术,《桂游日记》,不详,,,,,,,
1928年(民国十七年 戊辰)7月,广西梧州/昭平/桂林,黄宾虹,陈柱、陈中凡等,游历/写生,乘舟沿漓江溯流而上，一路观赏山水风光、赋诗写生，记录沿途风物与创作心得,《桂游日记》、陈中凡《游桂江记》,不详,,,,,,,
1928年(民国十七年 戊辰)8月2日,广西桂林,黄宾虹,讲学团同仁,学业/讲学,广西暑期讲学会正式开讲，主讲金石学、书画史两大科目，系统讲授书画源流、笔墨技法等核心内容,1928年9月11日《民国日报》,不详,,,,,,,
1928年(民国十七年 戊辰)8月,广西桂林,黄宾虹,当地各界人士,艺术/观展,参观桂林艺术展览会，品评历代书画古物，并发表观展感想，与当地艺术界交流,1928年9月18日《广州民国日报》,不详,,,,,,,
1928年(民国十七年 戊辰)夏秋,广西桂林,黄宾虹,陈柱,艺术/创作,历时二十余日写生，创作数百幅作品，绘制《八桂豪游图》三丈山水长卷赠予陈柱，记录广西山水风光,陈柱《八桂豪游图记》,不详,,,,,,,
1928年(民国十七年 戊辰)9月,广东广州,黄宾虹,顾颉刚、罗莘田、黄节,社交/交往,归途途经广州，与顾颉刚、罗莘田、黄节等人会面相聚，交流学术与艺术心得,顾颉刚日记,不详,,,,,,,
1928年(民国十七年 戊辰)9月9日,广东广州,黄宾虹,广东国画研究会同人,社交/演讲,出席广东国画研究会欢迎大会，登台演讲世界美术流派、中国书画笔墨与南北宗理论，与当地画家深入交流,1928年9月11日《广州民国日报》,不详,,,,,,,
1928年(民国十七年 戊辰)9月,广东广州,黄宾虹,蔡守、谈月色,艺术/授艺,到访蔡守寓所牟轩，当面为谈月色传授用笔、用墨核心技法，指导其书画创作,谈月色题跋、段拭《虹庐授学札记》,不详,,,,,,,
1928年(民国十七年 戊辰)9月,广东广州,黄宾虹,高剑父,社交/交往,"登门拜访高剑父，见其门楣题写""艺术救国""四字，印象深刻，二人就国画发展方向进行交流",《改良国画问题之检讨》,不详,,,,,,,
1928年(民国十七年 戊辰)9月,广东广州,黄宾虹,蔡守,收藏/鉴赏,出示漓江所得孟丽堂画作，与蔡守、谈月色一同品鉴临摹，交流清代绘画技法,蔡守题识,不详,,,,,,,
1928年(民国十七年 戊辰)9月,广东广州,黄宾虹,李铁夫,社交/论艺,与留洋归来的李铁夫相识，二人畅谈中西画理，相见恨晚，返沪后作山水长卷相赠,近代美术史料、报刊记载,不详,,,,,,,
1928年(民国十七年 戊辰)秋,广东广州,黄宾虹,无,收藏/鉴藏,在广州文德路画肆购得族祖黄吕《潭渡村居山水册》，珍视有加，后广征名家题咏,黄宾虹题跋、黄般若回忆文稿,不详,,,,,,,
1928年(民国十七年 戊辰)秋,广东广州,黄宾虹,黄般若,艺术/创作,作画赠予黄般若，记录此次广州之行的交游心得,作品题款,不详,,,,,,,
1928年(民国十七年 戊辰)秋,上海,黄宾虹,徐悲鸿,社交/往来,徐悲鸿邀请其出任北平艺专国画系主任，因神州国光社事务缠身婉言谢绝,《改良国画问题之检讨》,不详,,,,,,,
1928年(民国十七年 戊辰)秋,上海,黄宾虹,陶冷月,艺术/题跋,为陶冷月《溪山独钓图》题跋；另作《漓江山色图》相赠，记录广西写生心得,陶冷月手稿,不详,,,,,,,
1928年(民国十七年 戊辰)10月5日,上海,黄宾虹,艺术界同仁,艺术/展览,参展上海艺术协会第一届展览会，展出广西写生系列山水作品,1928年10月《申报》,不详,,,,,,,
1928年(民国十七年 戊辰)秋,上海,黄宾虹,田福祺,艺术/题咏,为《挹珊先生机丝夜月图题咏集》题诗落款，收录于该题咏集中,图集题跋,不详,,,,,,,
1928年(民国十七年 戊辰)10月25日,上海,黄宾虹,高燮家族,社交/悼唁,为高燮母亲李太夫人题写《高节孝李太夫人哀思录》端首，并作挽诗悼念,《高节孝李太夫人哀思录》,不详,,,,,,,
1928年(民国十七年 戊辰)10月31日,上海,黄宾虹,俭德储蓄会众人,演讲/交流,受邀在俭德储蓄会发表《中国美术之商略》主题演讲，系统阐述中国美术的发展与商业价值,1928年10月30日《申报》,不详,,,,,,,
1928年(民国十七年 戊辰)11月,江苏无锡,黄宾虹,谢玉岑,游历/偶遇,前往无锡途中，在太湖之畔与谢玉岑相遇，二人交流书画创作心得,谢玉岑致高燮书信,不详,,,,,,,
1928年(民国十七年 戊辰)11月7日,上海,黄宾虹,秋英会同人,艺术/展览,参加秋英会第一次展览会，会后参与合作纪念画作，推动海上女性艺术发展,1928年11月《申报》,不详,,,,,,,
1928年(民国十七年 戊辰)冬,上海,黄宾虹,许家栻,艺术/创作,为许家栻绘制山水作品并落款，记录交游情谊,作品题款,不详,,,,,,,
1929年(民国十八年 己巳)春,上海,黄宾虹,无,艺术/创作,创作《桂林山水图》，自题“己巳春，黄宾虹写”落款，该作品为广西之行写生所得，笔墨苍润、意境深远,拍卖图录档案,不详,,,,,,,
1929年(民国十八年 己巳)4月,上海,黄宾虹,蔡元培、林风眠等,评审/展览,担任全国美术展览会中国画部审查委员，全程参与展会的作品评审、评选与颁奖工作,1929年4月《申报》《时报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)5月,上海,黄宾虹,张善孖、张大千,社交/雅集,与张善孖、张大千兄弟相聚，交流画艺，合作创作多幅书画作品，推动南北国画艺术交流,1929年5月《申报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)夏,上海,黄宾虹,无,艺术/创作,创作《黄山纪游图》长卷，自题“己巳夏，黄宾虹写”落款，该作品为黄山写生所得，是其“浑厚华滋”风格的早期代表作品之一,拍卖图录档案,不详,,,,,,,
1929年(民国十八年 己巳)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界举办的赈灾义卖活动，创作书画作品用于赈济西北灾区,1929年7月《申报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的工作情况，同时交流书画创作、金石研究的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1929年(民国十八年 己巳)10月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学之新发展》一文，探讨中国画学的当代发展方向与核心要义,1929年10月《东方杂志》,不详,,,,,,,
1929年(民国十八年 己巳)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十子黄映川出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1930年(民国十九年 庚午)春,上海,黄宾虹,无,艺术/创作,创作《漓江山水图册》十二帧，自题“庚午春，黄宾虹写”落款，该册页为广西之行写生整理所得，每帧均有题诗,拍卖图录档案,不详,,,,,,,
1930年(民国十九年 庚午)3月,上海,黄宾虹,上海美专同人,学业/任职,继续担任上海美术专科学校国画教授，同时担任该校国画系主任，负责国画专业的教学与管理工作,《上海美专校史》,不详,,,,,,,
1930年(民国十九年 庚午)5月,上海,黄宾虹,无,出版/著述,所著《画学通论》由神州国光社正式出版，该书系统阐述中国传统绘画的理论体系，是其画学思想的核心著作,相关出版史料,不详,,,,,,,
1930年(民国十九年 庚午)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、无锡，沿途写生，交流画艺，创作了多幅江南山水作品,相关交游史料,不详,,,,,,,
1930年(民国十九年 庚午)7月,上海,黄宾虹,无,艺术/理论,发表《论画笔墨》一文，系统阐述中国绘画的笔墨技法与精神内涵,1930年相关报刊、《黄宾虹文集》,不详,,,,,,,
1930年(民国十九年 庚午)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1930年(民国十九年 庚午)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印》十卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1930年(民国十九年 庚午)冬,上海,黄宾虹,无,艺术/创作,创作《秋山图》，自题“庚午冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境悠远,作品题跋档案,不详,,,,,,,
1931年(民国二十年 辛未)春,上海,黄宾虹,无,艺术/创作,创作《黄山松云图》长卷，自题“辛未春，黄宾虹写”落款，该作品是其黄山题材的经典之作,拍卖图录档案,不详,,,,,,,
1931年(民国二十年 辛未)3月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志复刊号发表《画学散记》续篇，继续阐述其画学理论与创作心得,1931年《艺观》杂志复刊号,不详,,,,,,,
1931年(民国二十年 辛未)5月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1931年5月《申报》相关报道,不详,,,,,,,
1931年(民国二十年 辛未)夏,上海,黄宾虹,无,艺术/创作,创作《新安江泛舟图》，自题“辛未夏，黄宾虹写”落款，该作品以新安江山水为题材，笔墨苍润,作品题跋档案,不详,,,,,,,
1931年(民国二十年 辛未)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的出版计划，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1931年(民国二十年 辛未)10月,上海,黄宾虹,无,出版/著述,所著《古印概论》由神州国光社出版，该书系统阐述古印的源流、艺术价值与鉴赏方法,相关出版史料,不详,,,,,,,
1931年(民国二十年 辛未)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十一子黄映池出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1932年(民国二十一年 壬申)春,上海,黄宾虹,无,艺术/创作,创作《山水图册》八帧，自题“壬申春，黄宾虹写”落款，该册页风格多样，涵盖了其不同的笔墨技法,拍卖图录档案,不详,,,,,,,
1932年(民国二十一年 壬申)3月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学的精神》一文，深入探讨中国画学的核心精神与文化内涵,1932年3月《东方杂志》,不详,,,,,,,
1932年(民国二十一年 壬申)5月,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1932年(民国二十一年 壬申)夏,上海,黄宾虹,无,艺术/理论,发表《论画意境》一文，系统阐述中国绘画的意境营造与审美追求,1932年相关报刊、《黄宾虹文集》,不详,,,,,,,
1932年(民国二十一年 壬申)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为东北义勇军举办的募捐义卖活动，创作书画作品捐献,1932年7月《申报》相关报道,不详,,,,,,,
1932年(民国二十一年 壬申)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1932年(民国二十一年 壬申)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画》六卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1932年(民国二十一年 壬申)冬,上海,黄宾虹,无,艺术/创作,创作《雪山图》，自题“壬申冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1933年(民国二十二年 癸酉)春,上海,黄宾虹,无,艺术/创作,创作《漓江山水图》长卷，自题“癸酉春，黄宾虹写”落款，该作品为广西之行写生的经典之作,拍卖图录档案,不详,,,,,,,
1933年(民国二十二年 癸酉)3月,上海,黄宾虹,无,出版/著述,所著《画学要旨》由神州国光社出版，该书是其画学理论的精简读本，面向国画学习者,相关出版史料,不详,,,,,,,
1933年(民国二十二年 癸酉)5月,上海,黄宾虹,无,艺术/理论,发表《论画用笔》一文，系统阐述中国绘画的用笔技法与核心要义,1933年相关报刊、《黄宾虹文集》,不详,,,,,,,
1933年(民国二十二年 癸酉)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、杭州，沿途写生，交流画艺,相关交游史料,不详,,,,,,,
1933年(民国二十二年 癸酉)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为黄河水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1933年7月《申报》相关报道,不详,,,,,,,
1933年(民国二十二年 癸酉)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的工作情况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
